1599.00	3949.00	2037.00	1062.00	2515.00	3565.00	2137.00	5437.00	1577.00	1582.00	3418.00	2474.00	2492.00	5135.00	1987.00	932.00	1798.00	2134.00	2884.00	1730.00
2.00	33.00	12.00	2.00	17.00	21.00	307.00	41.00	4.00	339.00	3213.00	72.00	43.00	239.00	35.00	4.00	21.00	22433.00	1648.00	29.00
0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	8.00	0.00	1.00	2.00	2.00	0.00	0.00	9.00	3.00	0.00
0.00	0.00	0.00	9.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00
2846.00	1155.00	1813.00	2651.00	2546.00	4562.00	3790.00	6798.00	1800.00	1708.00	2629.00	3418.00	1493.00	5100.00	3746.00	2341.00	7415.00	1982.00	5284.00	8226.00
598.00	2123.00	1809.00	85.00	577.00	6514.00	752.00	2923.00	11.00	2407.00	60.00	3318.00	1626.00	8388.00	979.00	24.00	7.00	121.00	556.00	2969.00
22.00	139.00	199.00	1671.00	76.00	901.00	885.00	17.00	172.00	318.00	39.00	163.00	57.00	90.00	74.00	143.00	66.00	27.00	84.00	26.00
106.00	218.00	513.00	651.00	1947.00	2189.00	1079.00	1316.00	1693.00	271.00	807.00	722.00	659.00	1604.00	496.00	114.00	1290.00	124.00	919.00	2193.00
1999.00	3973.00	2823.00	1511.00	2470.00	3163.00	1691.00	3116.00	2496.00	1233.00	5668.00	6597.00	2683.00	6467.00	4489.00	2287.00	5638.00	4986.00	5021.00	3575.00
1.00	0.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00
15.00	2.00	0.00	2.00	1.00	1.00	2.00	5.00	19.00	2.00	30.00	1.00	3.00	0.00	11.00	4.00	13.00	9.00	2.00	5.00
15.00	1.00	2.00	15.00	4.00	8.00	10.00	7.00	3.00	9.00	14.00	3.00	8.00	6.00	12.00	4.00	3.00	32.00	2.00	1.00
1.00	3.00	0.00	3.00	1.00	0.00	1.00	8.00	0.00	0.00	1.00	0.00	0.00	2.00	142.00	4.00	0.00	0.00	0.00	0.00
52.00	926.00	123.00	456.00	9.00	573.00	94.00	56.00	237.00	69.00	234.00	449.00	220.00	419.00	41.00	1828.00	119.00	18.00	432.00	68.00
15769.00	1460.00	20413.00	547.00	3279.00	6163.00	21453.00	9926.00	2602.00	4830.00	3509.00	1972.00	2926.00	2080.00	5707.00	1459.00	594.00	3980.00	4753.00	32773.00
2.00	72.00	87.00	365.00	8.00	161.00	332.00	5.00	36.00	41.00	8.00	8.00	43.00	19.00	6.00	7.00	29.00	1.00	12.00	0.00
